# Module 14 — crypto on monk-mode. Format: Text<TAB>Extra<TAB>tags (Extra optional). Card law: anki/CARD-RULES.md
What are the three properties of a hash function? {{c1::One-way}} · {{c1::deterministic}} · {{c1::collision-resistant}}.	Can't reverse · same in, same out (so you can VERIFY) · two inputs sharing one fingerprint is infeasible.	ai-mastery::m14 crypto
What is the avalanche effect in hashing? {{c1::One changed input letter rewrites the whole digest}}.	sha256("hello") = 2cf24dba… but sha256("hellp") = fdd7585e… — nothing survives.	ai-mastery::m14 crypto
Why are passwords HASHED rather than encrypted? {{c1::The system only ever needs to CHECK, never read back}}.	Encryption is reversible by design — someone holds the key. "We encrypt passwords" = sloppy language or a real bug.	ai-mastery::m14 crypto
What is a salt, and what does it defeat? {{c1::Random data mixed in before hashing, stored alongside}}; defeats {{c1::rainbow tables}}.	One precomputed chart can no longer crack everybody at once.	ai-mastery::m14 crypto
What is a rainbow table, and why does it work at all? {{c1::A precomputed fingerprint→input lookup}} — works because {{c1::unsalted hashes of the same input are identical for everyone}}.	A salt makes each search independent.	ai-mastery::m14 crypto
What is monk-mode's salt: size, scope, source? {{c1::16 bytes}} · {{c1::fresh per code}} · {{c1::from a CSPRNG}}.	Its own comment: makes each block's offline search independent, rainbow tables useless.	ai-mastery::m14 crypto
What is a KDF, and why deliberately slow? {{c1::A slow, salted hash for secrets humans handle}} — fast hashing is {{c1::the ATTACKER's friend}}.	SHA-256 does billions/sec on a GPU; a guessable code needs the brake.	ai-mastery::m14 crypto
What is monk-mode's KDF, exactly? {{c1::PBKDF2-HMAC-SHA256}} · {{c1::600,000 iterations}} · {{c1::16-byte salt, 32-byte output}}.	All three pinned by unit tests so a retune is one loud edit.	ai-mastery::m14 crypto
What is the 600,000-iteration asymmetry? You pay {{c1::once per code check}}; the attacker pays {{c1::per guess}}.	≈0.39 s on this machine; against a 10-char/32-symbol code that IS the whole defence.	ai-mastery::m14 crypto
What does a MAC add over a plain hash? {{c1::A key: anyone can hash anything; only the key holder can produce a valid stamp}}.	A wax seal whose stamp only you own — visible to all, forgeable by none.	ai-mastery::m14 crypto
What is HMAC? {{c1::The standard construction for building a MAC out of a hash function}}.	HMAC-SHA256 = a keyed signature built on SHA-256.	ai-mastery::m14 crypto
What does monk-mode's ComputeConfigMac do, in one line? {{c1::HMAC-SHA256}} over {{c1::the canonical string's UTF-16LE bytes}}, {{c1::Base64-encoded}}, keyed with {{c1::a 32-byte per-block random key}}.		ai-mastery::m14 crypto
What is the encoding trap in cross-language HMAC? {{c1::UTF-16LE and UTF-8 of the same text give COMPLETELY different MACs}} — .NET's Encoding.Unicode means {{c1::UTF-16LE, not UTF-8}}.	Cross-language reimplementations die here.	ai-mastery::m14 crypto
What is canonicalisation? {{c1::Turning data into ONE exact string before signing — same fields, same order, same formatting, every time}}.	No canonical form, no meaningful signature.	ai-mastery::m14 crypto
What is monk-mode's canonical shape? {{c1::Name=value one per line, \n-terminated, in a FIXED order, built from the DECRYPTED values}}.	Byte-identical whoever writes it.	ai-mastery::m14 crypto
Why must every protected field be inside the canonical? A field outside it is {{c1::freely editable — the MAC still verifies}}.	Coverage IS the protection.	ai-mastery::m14 crypto
What would omitting AllSessionKill from monk-mode's canonical allow? {{c1::Flipping an armed all-session block back to session-0-only}}.	Then running a blocked app in a second logged-in session; inside the canonical, that edit fails the MAC.	ai-mastery::m14 crypto
Why is gluing fields ("Until=" + u + "Committed=" + c) into a signed string forgeable? {{c1::A value can contain the separator and swallow its neighbour — two field-sets, same string, same valid MAC}}.	One MAC, two meanings.	ai-mastery::m14 crypto
What is the general signing law from module 14 §5? {{c1::Sign a form that can only be read one way}}.	Ambiguity in the signed representation is a hole regardless of cipher strength.	ai-mastery::m14 crypto
What is a timing side-channel? {{c1::Learning a secret from how LONG an operation takes}} — == {{c1::stops at the first differing byte}}.	Closer guesses reject fractionally slower; repeat and recover the MAC byte by byte.	ai-mastery::m14 crypto
What are the constant-time comparison functions in .NET and Python? {{c1::CryptographicOperations.FixedTimeEquals}} · {{c1::hmac.compare_digest}}.	Always compare everything; never exit early.	ai-mastery::m14 crypto
What is fail-closed vs fail-open? Fail-closed = {{c1::check breaks → DENY}}; fail-open = {{c1::check breaks → allow}}.	A blocker must fail closed; fail-open is how convenience wins and security dies.	ai-mastery::m14 security
What does ConfigMacIsValid do on a blank/malformed/non-Base64 MAC? {{c1::Returns False, never throws — the block stays STANDING}}.	The safe state is chosen on doubt, always.	ai-mastery::m14 crypto
What does DPAPI machine scope protect in monk-mode, and what doesn't it? {{c1::Only THIS machine can decrypt the 32-byte HMAC key}}; no use against {{c1::someone who has the machine}}.	A safe bolted to the building.	ai-mastery::m14 crypto
Why is monk-mode's documented-weak Simple3Des still a correct decision? {{c1::The threat is TAMPERING, not secrecy — the HMAC layer above does the real work}}.	Confidentiality of a file the user already owns buys almost nothing.	ai-mastery::m14 crypto
What is the design law of module 14? {{c1::Name your threat model, then spend your strength where the threat is}}.	Crypto misused as decoration is worse than none — it buys false confidence.	ai-mastery::m14 crypto
